customerID,predicted_churn_probability,predicted_churn_label,monthly_charges,revenue_at_risk_monthly,revenue_at_risk_annual,risk_band,top_features,top_shap_values
4376-KFVRS,0.01149732064609211,0,114.05,1.311269419686805,15.735233036241661,Low,Contract_Two year;tenure;TotalCharges,-0.2485;-0.2190;-0.1888
2754-SDJRD,0.8998078659379445,1,100.15,90.11575777368516,1081.3890932842219,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2990;0.1871;0.1709
9917-KWRBE,0.17577642536352342,0,78.35,13.772082927232058,165.2649951267847,Low,Contract_One year;TotalCharges;MultipleLines,-0.0733;-0.0327;-0.0302
0365-GXEZS,0.5533106084887949,1,78.2,43.26888958382377,519.2266750058852,Medium,InternetService_Fiber optic;PaperlessBilling;PaymentMethod_Electronic check,0.2216;-0.1125;0.1112
9385-NXKDA,0.04078906221954311,0,82.65,3.371215992445238,40.45459190934285,Low,Contract_Two year;tenure;OnlineSecurity,-0.1724;-0.0996;-0.0630
4686-UXDML,0.7649297751049514,1,99.85,76.37823804422939,916.5388565307527,High,InternetService_Fiber optic;MonthlyCharges;StreamingMovies,0.3792;0.1068;0.0690
2227-JRSJX,0.6137109958346314,1,99.15,60.849445237003714,730.1933428440445,Medium,InternetService_Fiber optic;MonthlyCharges;TechSupport,0.2727;0.1192;-0.1070
4830-FAXFM,0.17103974515768786,0,24.1,4.122057858300278,49.46469429960334,Low,InternetService_No;MonthlyCharges;tenure,-0.1396;-0.1255;0.0414
1830-IPXVJ,0.03686640119035049,0,19.75,0.7281114235094223,8.737337082113067,Low,Contract_Two year;Partner;InternetService_No,-0.2063;-0.0618;-0.0327
4690-LLKUA,0.6874238275637053,1,45.05,30.96844343174492,371.62132118093905,Medium,tenure;PaymentMethod_Electronic check;TotalCharges,0.1698;0.1578;0.1327
5804-HYIEZ,0.3346111995735603,0,106.05,35.485517714776066,425.8262125773128,Low,OnlineSecurity;tenure;InternetService_Fiber optic,-0.2037;-0.1374;0.1101
2388-LAESQ,0.008113551086088917,0,114.85,0.9318413422373121,11.182096106847744,Low,Contract_Two year;tenure;TotalCharges,-0.2528;-0.1847;-0.1765
5533-RJFTJ,0.2934930886191732,0,30.2,8.863491276299031,106.36189531558838,Low,tenure_group_48+;DeviceProtection;MonthlyCharges,-0.0691;-0.0243;0.0165
4706-AXVKM,0.8383395887809924,1,84.8,71.09119712862815,853.0943655435378,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2934;0.1337;0.1143
0997-YTLNY,0.3190788282283056,0,48.8,15.57104681754131,186.85256181049573,Low,Dependents;PaperlessBilling;TotalCharges,-0.0736;-0.0480;0.0424
7971-HLVXI,0.16750174952716754,0,84.5,14.153897835045656,169.84677402054788,Low,Contract_Two year;tenure;StreamingMovies,-0.1532;-0.1500;0.0633
7337-CINUD,0.019108768245896836,0,19.5,0.3726209807949883,4.4714517695398595,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.1818;-0.1068;-0.0596
1379-FRVEB,0.7932574153310691,1,91.0,72.18642479512728,866.2370975415274,High,InternetService_Fiber optic;PaymentMethod_Electronic check;tenure,0.3378;0.1305;0.0950
4753-PADAS,0.41506791183626157,0,105.7,43.87267828109285,526.4721393731143,Medium,StreamingMovies;Contract_One year;InternetService_Fiber optic,0.1238;-0.1190;0.1129
5701-GUXDC,0.19175188266922302,0,35.4,6.788016646490495,81.45619975788594,Low,Contract_One year;OnlineSecurity;TotalCharges,-0.1617;-0.0544;0.0434
7235-NXZCP,0.8658765969806358,1,74.85,64.81086328400059,777.7303594080071,High,tenure;InternetService_Fiber optic;TotalCharges,0.2301;0.2111;0.1159
0668-OGMHD,0.45940661883304906,0,28.5,13.093088636741898,157.11706364090278,Medium,PaperlessBilling;PaymentMethod_Electronic check;tenure,-0.1199;0.1058;0.0871
2812-REYAT,0.06962352448704948,0,20.05,1.3959516659653424,16.751419991584108,Low,InternetService_No;Contract_One year;MonthlyCharges,-0.1581;-0.1431;-0.1359
8779-YIQQA,0.054855039361372364,0,19.8,1.0861297793551727,13.033557352262072,Low,InternetService_No;MonthlyCharges;Contract_One year,-0.2132;-0.1281;-0.0587
9701-CDXHR,0.3392767802885546,0,69.15,23.460989356953558,281.5318722834427,Low,InternetService_Fiber optic;tenure_group_48+;tenure,0.1553;-0.0940;-0.0633
7130-CTCUS,0.4010513516662012,0,54.55,21.877351233391277,262.5282148006953,Medium,SeniorCitizen;tenure;OnlineSecurity,0.0586;-0.0522;-0.0464
1894-IGFSG,0.6761509056126865,1,89.25,60.34646832593227,724.1576199111872,Medium,InternetService_Fiber optic;tenure;PaymentMethod_Electronic check,0.2665;0.0763;0.0663
0871-URUWO,0.830961787617957,1,102.25,84.96584278393611,1019.5901134072333,High,InternetService_Fiber optic;MonthlyCharges;tenure,0.3809;0.1540;0.0884
0057-QBUQH,0.054882444515283034,0,25.1,1.377549357333604,16.53059228800325,Low,InternetService_No;MonthlyCharges;Contract_Two year,-0.0916;-0.0634;-0.0534
9611-CTWIH,0.8834662231301793,1,89.45,79.02605365899454,948.3126439079344,High,InternetService_Fiber optic;tenure;TotalCharges,0.2258;0.2051;0.0693
